geometry,elevation,vapor pressure,precipitation,sand,clay,silt,SR,temp,water storage
"POLYGON ((-100.721128 40.002069, -100.702721168408 40.0021495753645, -100.6916442797 40.0021980641193, -100.68749999999804 40.00221620558194, -100.68749999999804 39.9791666666679, -100.72916666666472 39.9791666666679, -100.72916666666472 40.00210747128531, -100.721128 40.002069))",861,16.99999899,542.9999701,8.745587739,23.1304334,68.09264282,20.99999875,10.99999934,20.5399997
"POLYGON ((-100.683435 40.002234, -100.66509584290401 40.002177097638, -100.66023 40.002162, -100.645917008652 40.0018919070283, -100.64583333333138 40.00189032803511, -100.64583333333138 39.9791666666679, -100.68749999999804 39.9791666666679, -100.68749999999804 40.00221620558194, -100.683435 40.002234))",851,17,544.0000025,8.74558826,23.13043478,68.09264688,21,11,20.54000092
"POLYGON ((-100.645445 40.001883, -100.627121902041 40.0018924703652, -100.626769823934 40.0018926523382, -100.608894334389 40.001901891355296, -100.60416666666471 40.001904334868925, -100.60416666666471 39.9791666666679, -100.64583333333138 39.9791666666679, -100.64583333333138 40.00189032803511, -100.645445 40.001883))",826,16.99999899,544.99997,8.745587739,23.1304334,68.09264282,20.99999875,10.99999934,20.5399997
"POLYGON ((-100.600945 40.001906, -100.59934297548 40.001924381341496, -100.594757 40.001977, -100.567238 40.001889, -100.56249999999804 40.001889, -100.56249999999804 39.9791666666679, -100.60416666666471 39.9791666666679, -100.60416666666471 40.001904334868925, -100.600945 40.001906))",802,17,546.0000025,10.18108482,22.50121047,68.34286514,21,11,20.41605138
"POLYGON ((-100.551886 40.001889, -100.533682043035 40.0018671486516, -100.532916063344 40.0018662291983, -100.52083333333137 40.00185172554158, -100.52083333333137 39.9791666666679, -100.56249999999804 39.9791666666679, -100.56249999999804 40.001889, -100.551886 40.001889))",781,17,547.0000025,13.39025725,22.36690985,65.71038416,21,11,19.79408104
"POLYGON ((-100.514415939423 40.0018440223422, -100.511065 40.00184, -100.487159 40.001767, -100.4791666666647 40.00175517818755, -100.4791666666647 39.9791666666679, -100.52083333333137 39.9791666666679, -100.52083333333137 40.00185172554158, -100.514415939423 40.0018440223422))",786,17,549.0000026,11.40325433,22.34855074,66.47212782,21,11,20.35626085
"POLYGON ((-100.477018 40.001751999999996, -100.475854 40.001768, -100.468773 40.001723999999996, -100.46346317190701 40.00174137236969, -100.45754938827601 40.001760720724, -100.447072 40.001795, -100.439081 40.001774, -100.43749999999802 40.00177512926266, -100.43749999999802 39.9791666666679, -100.4791666666647 39.9791666666679, -100.4791666666647 40.00175517818755, -100.477018 40.001751999999996))",791,16.99999899,550.9999697,10.64393812,22.59716192,66.71961282,20.99999875,10.99999934,20.42220141
"POLYGON ((-100.420010724232 40.0017876213475, -100.40245092792 40.001800163803196, -100.39583333333135 40.00180489056004, -100.39583333333135 39.9791666666679, -100.43749999999802 39.9791666666679, -100.43749999999802 40.00177512926266, -100.420010724232 40.0017876213475))",789,17,553.0000026,9.353241429,22.95973696,67.65314607,21,11,20.50229416
"POLYGON ((-100.39008 40.001809, -100.3541666666647 40.00176683649357, -100.3541666666647 39.9791666666679, -100.39583333333135 39.9791666666679, -100.39583333333135 40.00180489056004, -100.39008 40.001809))",795,17,555.0000026,8.822329423,23.10887746,68.03714268,21,11,20.53523913
"POLYGON ((-100.31249999999801 40.00171791837306, -100.31249999999801 39.9791666666679, -100.3541666666647 39.9791666666679, -100.3541666666647 40.00176683649357, -100.31249999999801 40.00171791837306))",788,17,557.0000026,8.74558826,23.13043478,68.09264688,21,11,20.54000092
"POLYGON ((-100.307189232831 40.001711683347104, -100.29011492209601 40.001691637510504, -100.27083333333135 40.0016690002525, -100.27083333333135 39.9791666666679, -100.31249999999801 39.9791666666679, -100.31249999999801 40.00171791837306, -100.307189232831 40.001711683347104))",777,17,560.0000026,8.74558826,23.13043478,68.09264688,21,11,20.54000092
"POLYGON ((-100.231652 40.001622999999995, -100.229479 40.001692999999996, -100.22916666666468 40.00169157959685, -100.22916666666468 39.9791666666679, -100.27083333333135 39.9791666666679, -100.27083333333135 40.0016690002525, -100.231652 40.001622999999995))",768,16.99999899,562.9999691,9.346105632,23.01628556,67.60679027,20.99999875,10.99999934,20.52596912
"POLYGON ((-100.215406 40.001629, -100.196959 40.001494, -100.19359 40.001573, -100.190323 40.001585999999996, -100.188181 40.001540999999996, -100.18749999999801 40.00154441880672, -100.18749999999801 39.9791666666679, -100.22916666666468 39.9791666666679, -100.22916666666468 40.00169157959685, -100.215406 40.001629))",760,17,567.0000027,12.20547653,22.47276338,65.29338031,21,11,20.45915719
"POLYGON ((-100.177823 40.001593, -100.177794883236 40.001592986460395, -100.14589003485301 40.001577622723396, -100.14583333333134 40.00157759541885, -100.14583333333134 39.9791666666679, -100.18749999999801 39.9791666666679, -100.18749999999801 40.00154441880672, -100.177823 40.001593))",747,17,572.0000027,13.73576672,22.18187769,64.05527618,21,11,20.42339949
"POLYGON ((-100.13725003252301 40.0015734621419, -100.131523507268 40.0015707045413, -100.12721004496301 40.0015686273993, -100.10416666666467 40.00155753089137, -100.10416666666467 39.9791666666679, -100.14583333333134 39.9791666666679, -100.14583333333134 40.00157759541885, -100.13725003252301 40.0015734621419))",735,17,576.0000027,18.65789343,21.24625548,60.07296144,21,11,20.30838757
"POLYGON ((-100.099189029792 40.001555133917, -100.080715024444 40.001546237784495, -100.062499999998 40.00153746636386, -100.062499999998 39.9791666666679, -100.10416666666467 39.9791666666679, -100.10416666666467 40.00155753089137, -100.099189029792 40.001555133917))",716,17,578.9999682,32.20448756,18.65130132,49.13174506,21,11,19.98335608
"POLYGON ((-100.042975064497 40.0015280641573, -100.032247054946 40.0015228980987, -100.02083333333132 40.00151740183633, -100.02083333333132 39.9791666666679, -100.062499999998 39.9791666666679, -100.062499999998 40.00153746636386, -100.042975064497 40.0015280641573))",711,16.99999899,580.9999681,35.85150586,17.97508395,46.16498485,20.99999875,10.99999934,19.90538976
"POLYGON ((-99.990926 40.001503, -99.986611 40.00155, -99.97916666666465 40.00160092757434, -99.97916666666465 39.9791666666679, -100.02083333333132 39.9791666666679, -100.02083333333132 40.00151740183633, -99.990926 40.001503))",696,16.99999899,582.999968,37.78176078,17.56149165,44.64737666,20.99999875,10.99999934,19.84040449
"POLYGON ((-99.9576989985665 40.0017477904583, -99.948167 40.001813, -99.944417 40.001584, -99.93749999999798 40.0015503647025, -99.93749999999798 39.9791666666679, -99.97916666666465 39.9791666666679, -99.97916666666465 40.00160092757434, -99.9576989985665 40.0017477904583))",705,17,586.0000028,12.42016663,22.22042103,65.31946093,21,11,20.36404008
"POLYGON ((-99.930433 40.001515999999995, -99.906658 40.001512, -99.89583333333132 40.001498999767655, -99.89583333333132 39.9791666666679, -99.93749999999798 39.9791666666679, -99.93749999999798 40.0015503647025, -99.930433 40.001515999999995))",713,17,589.0000028,11.16285718,22.45138889,66.34428602,21,11,20.38999939
"POLYGON ((-99.8546011747661 40.0014494806778, -99.85416666666464 40.001448958841294, -99.85416666666464 39.9791666666679, -99.89583333333132 39.9791666666679, -99.89583333333132 40.001498999767655, -99.8546011747661 40.0014494806778))",706,16.99999899,591.9999675,11.16285651,22.45138755,66.34428206,20.99999875,10.99999934,20.38999817
"POLYGON ((-99.85008090105369 40.0014440519094, -99.83221548107039 40.0014225958575, -99.813401 40.001400000000004, -99.81249999999798 40.00140589356745, -99.81249999999798 39.9791666666679, -99.85416666666464 39.9791666666679, -99.85416666666464 40.001448958841294, -99.85008090105369 40.0014440519094))",711,17,595.0000028,10.43203495,22.65668898,66.87287913,21,11,20.43535119
"POLYGON ((-99.77564 40.001647, -99.772121 40.001804, -99.77083333333131 40.00176279857504, -99.77083333333131 39.9791666666679, -99.81249999999798 39.9791666666679, -99.81249999999798 40.00140589356745, -99.77564 40.001647))",702,17,596.0000028,8.907752065,23.08487986,67.97535492,21,11,20.52993736
"POLYGON ((-99.764214 40.001551, -99.756835 40.001342, -99.746628 40.001819999999995, -99.7411603496972 40.0018226091453, -99.73195899999999 40.001827, -99.72916666666464 40.00182269364177, -99.72916666666464 39.9791666666679, -99.77083333333131 39.9791666666679, -99.77083333333131 40.00176279857504, -99.764214 40.001551))",704,17,598.0000029,8.74558826,23.13043478,68.09264688,21,11,20.54000092
"POLYGON ((-99.719639 40.001808, -99.68749999999797 40.00182841845486, -99.68749999999797 39.9791666666679, -99.72916666666464 39.9791666666679, -99.72916666666464 40.00182269364177, -99.719639 40.001808))",696,16.00000008,600.0000029,8.74558826,23.13043478,68.09264688,21,11,20.54000092
"POLYGON ((-99.6458333333313 40.00185488999887, -99.6458333333313 39.9791666666679, -99.68749999999797 39.9791666666679, -99.68749999999797 40.00182841845486, -99.6458333333313 40.00185488999887))",693,16,603.0000029,8.74558826,23.13043478,68.09264688,21,11,20.54000092
"POLYGON ((-99.628346 40.001866, -99.6282545420969 40.0018659613449, -99.62598 40.001864999999995, -99.6253240088811 40.001865850441, -99.6093522986999 40.0018865565103, -99.60416666666463 40.00189327927546, -99.60416666666463 39.9791666666679, -99.6458333333313 39.9791666666679, -99.6458333333313 40.00185488999887, -99.628346 40.001866))",681,16,608.0000029,8.74558826,23.13043478,68.09264688,21,11,20.54000092
"POLYGON ((-99.58067335271501 40.0019237365141, -99.56249999999795 40.00194729684029, -99.56249999999795 39.9791666666679, -99.60416666666463 39.9791666666679, -99.60416666666463 40.00189327927546, -99.58067335271501 40.0019237365141))",672,16,612.0000029,8.74558826,23.13043478,68.09264688,21,11,20.54000092
"POLYGON ((-99.52083333333128 40.00200131440509, -99.52083333333128 39.9791666666679, -99.56249999999795 39.9791666666679, -99.56249999999795 40.00194729684029, -99.52083333333128 40.00200131440509))",651,16,614.000003,8.74558826,23.13043478,68.09264688,21,11,20.54000092
"POLYGON ((-99.51785109897239 40.002005180638, -99.51533905631301 40.0020084373042, -99.501792 40.002026, -99.498999 40.001957, -99.49766 40.001912, -99.493465 40.001937, -99.480728 40.001942, -99.47916666666461 40.001950958895335, -99.47916666666461 39.9791666666679, -99.52083333333128 39.9791666666679, -99.52083333333128 40.00200131440509, -99.51785109897239 40.002005180638))",626,15.99999905,613.9999634,21.75295234,22.82834235,55.39667916,20.99999875,10.99999934,19.91044193
"POLYGON ((-99.43749999999795 40.00219004128545, -99.43749999999795 39.9791666666679, -99.47916666666461 39.9791666666679, -99.47916666666461 40.001950958895335, -99.43749999999795 40.00219004128545))",622,16,613.000003,20.55309271,23.04023513,56.37899057,21,11,19.63752589
"POLYGON ((-99.423565 40.002269999999996, -99.4140649965405 40.0019202745979, -99.412645 40.001867999999995, -99.40465341610759 40.001955202892496, -99.40338899999999 40.001968999999995, -99.39583333333128 40.00196765898751, -99.39583333333128 39.9791666666679, -99.43749999999795 39.9791666666679, -99.43749999999795 40.00219004128545, -99.423565 40.002269999999996))",612,15.99999905,611.9999665,21.86740057,22.96063101,55.14650787,20.99999875,10.99999934,19.66218872
"POLYGON ((-99.3850545296671 40.001965745918696, -99.36677398198509 40.001962501407796, -99.35416666666461 40.001960263806794, -99.35416666666461 39.9791666666679, -99.39583333333128 39.9791666666679, -99.39583333333128 40.00196765898751, -99.3850545296671 40.001965745918696))",613,15.99999905,611.9999635,18.51591067,23.16362036,58.28933878,20.99999875,10.99999934,19.59929727
"POLYGON ((-99.31249999999794 40.00195286862608, -99.31249999999794 39.9791666666679, -99.35416666666461 39.9791666666679, -99.35416666666461 40.001960263806794, -99.31249999999794 40.00195286862608))",620,15.99999905,613.000003,13.22419269,23.48412558,63.25160905,20.99999875,10.99999934,19.49999884
"POLYGON ((-99.29184604292439 40.0019492028722, -99.2909099996385 40.0019490367392, -99.290703 40.001948999999996, -99.286656 40.002016999999995, -99.282967 40.001878999999995, -99.27083333333127 40.00196071524781, -99.27083333333127 39.9791666666679, -99.31249999999794 39.9791666666679, -99.31249999999794 40.00195286862608, -99.29184604292439 40.0019492028722))",626,15.99999905,613.9999664,13.22419269,23.48412558,63.25160905,20.99999875,10.99999934,19.49999884
"POLYGON ((-99.25401199999999 40.002074, -99.25036999999999 40.001957, -99.2352752392307 40.00198319847279, -99.2291666666646 40.00199380051378, -99.2291666666646 39.9791666666679, -99.27083333333127 39.9791666666679, -99.27083333333127 40.00196071524781, -99.25401199999999 40.002074))",634,15.00000008,616.000003,13.22419348,23.48412698,63.25161282,21,11,19.5
"POLYGON ((-99.2165969472664 40.0020156165238, -99.216376 40.002016, -99.19780448861329 40.0020328076924, -99.197592 40.002033, -99.18890499999999 40.002023, -99.18749999999793 40.00198973700458, -99.18749999999793 39.9791666666679, -99.2291666666646 39.9791666666679, -99.2291666666646 40.00199380051378, -99.2165969472664 40.0020156165238))",636,14.99999911,618.9999661,13.22419269,23.48412558,63.25160905,20.99999875,10.99999934,19.49999884
"POLYGON ((-99.186962 40.001977, -99.179158 40.001977, -99.17913399999999 40.001977, -99.17896499999999 40.001977, -99.169816 40.001925, -99.14583333333125 40.002048032725575, -99.14583333333125 39.9791666666679, -99.18749999999793 39.9791666666679, -99.18749999999793 40.00198973700458, -99.186962 40.001977))",620,15,624.000003,13.22419348,23.48412698,63.25161282,21,11,19.5
"POLYGON ((-99.12303299999999 40.002165, -99.11350999999999 40.002193, -99.10416666666458 40.002172916168085, -99.10416666666458 39.9791666666679, -99.14583333333125 39.9791666666679, -99.14583333333125 40.002048032725575, -99.12303299999999 40.002165))",627,15,628.0000031,13.16916863,23.49596554,63.29373049,21,11,19.4875457
"POLYGON ((-99.08559699999999 40.002133, -99.067021970224 40.0021702872539, -99.06610565498379 40.002172126652205, -99.06249999999793 40.00217936459338, -99.06249999999793 39.9791666666679, -99.10416666666458 39.9791666666679, -99.10416666666458 40.002172916168085, -99.08559699999999 40.002133))",626,15,631.0000031,11.61344659,23.83069821,64.48458275,21,11,19.13543677
"POLYGON ((-99.02083333333124 40.00226300567483, -99.02083333333124 39.9791666666679, -99.06249999999793 39.9791666666679, -99.06249999999793 40.00217936459338, -99.02083333333124 40.00226300567483))",627,15,635.0000031,10.79457719,24.0068896,65.11140386,21,11,18.95010182
"POLYGON ((-99.020338 40.002264, -99.018701 40.002333, -98.99213499999999 40.002192, -98.97916666666458 40.002226629265756, -98.97916666666458 39.9791666666679, -99.02083333333124 39.9791666666679, -99.02083333333124 40.00226300567483, -99.020338 40.002264))",622,15,639.0000031,11.91037274,23.80225882,64.22412452,21,11,19.23221607
"POLYGON ((-98.972287 40.002244999999995, -98.971721 40.002268, -98.96100899999999 40.002317, -98.96091899999999 40.002271, -98.9538856661394 40.0022532329378, -98.952644126062 40.002250096655594, -98.93749999999791 40.00221184073946, -98.93749999999791 39.9791666666679, -98.97916666666458 39.9791666666679, -98.97916666666458 40.002226629265756, -98.972287 40.002244999999995))",630,14.99999911,643.9999648,11.10884535,24.41201083,64.42842893,20.99999875,10.99999934,19.41565764
"POLYGON ((-98.934792 40.002205, -98.89583333333124 40.00226634856214, -98.89583333333124 39.9791666666679, -98.93749999999791 39.9791666666679, -98.93749999999791 40.00221184073946, -98.934792 40.002205))",633,15,648.0000032,9.289625889,25.68985362,64.9913359,21,11,19.76720217
"POLYGON ((-98.8795749269619 40.0022919508206, -98.85416666666457 40.002331961436234, -98.85416666666457 39.9791666666679, -98.89583333333124 39.9791666666679, -98.89583333333124 40.00226634856214, -98.8795749269619 40.0022919508206))",628,14.99999911,651.9999643,9.67315974,25.95965352,64.36718348,20.99999875,10.99999934,20.33196583
"POLYGON ((-98.84250502098318 40.0023503251344, -98.83445599999999 40.002362999999995, -98.82059 40.002319, -98.8124999999979 40.0023264584553, -98.8124999999979 39.93750000000123, -98.85416666666457 39.93750000000123, -98.85416666666457 40.002331961436234, -98.84250502098318 40.0023503251344))",619,15,655.6425665,10.07882913,25.73024713,64.19048182,21,11,20.3673749
"POLYGON ((-98.777203 40.002359, -98.774941 40.002336, -98.77083333333123 40.00232637384368, -98.77083333333123 39.9791666666679, -98.8124999999979 39.9791666666679, -98.8124999999979 40.0023264584553, -98.777203 40.002359))",609,15,658.0000033,10.3391945,25.61899447,64.04180435,21,11,20.441059
"POLYGON ((-98.72927257073219 40.00222897782059, -98.72916666666455 40.00222872963855, -98.72916666666455 39.9791666666679, -98.77083333333123 39.9791666666679, -98.77083333333123 40.00232637384368, -98.72927257073219 40.00222897782059))",599,15,661.0000033,10.35810804,25.61486486,64.02702703,21,11,20.45000076
"POLYGON ((-98.7263734167054 40.0022221837665, -98.726295 40.002221999999996, -98.710404 40.002179999999996, -98.693096 40.002373, -98.69144299999999 40.002505, -98.690287 40.002548, -98.68749999999788 40.00251864300433, -98.68749999999788 39.9791666666679, -98.72916666666455 39.9791666666679, -98.72916666666455 40.00222872963855, -98.7263734167054 40.0022221837665))",585,14.99999911,661.9999638,14.69300983,24.78376338,60.51638142,20.99999875,10.99999934,20.2228981
"POLYGON ((-98.67281899999999 40.002364, -98.669724 40.00241, -98.65383299999999 40.002269, -98.65249399999999 40.002244999999995, -98.64583333333121 40.00238517696316, -98.64583333333121 39.9791666666679, -98.68749999999788 39.9791666666679, -98.68749999999788 40.00251864300433, -98.67281899999999 40.002364))",586,15,664.0000033,9.608223883,25.37725541,64.94995901,21,11,19.44217545
